attendance,winning %,salary cap,Year/Team,#color,#allstars,
1,0.67,1.04,2015-2016 Toronto Raptors,#696969,2,"{""y"": 1, ""x"": 0.67, ""value"": 1.04, ""y2"": ""2015-2016 Toronto Raptors"", ""x2"": ""#ccff33"", ""z"": 2},"
0.97,0.46,0.94,2015-2016 Utah Jazz,#000000,0,"{""y"": 0.97, ""x"": 0.46, ""value"": 0.94, ""y2"": ""2015-2016 Utah Jazz"", ""x2"": ""#FFFFFF0"", ""z"": 0},"
0.87,0.56,1.22,2015-2016 Washington Wizards,#B0B0B0,1,"{""y"": 0.87, ""x"": 0.56, ""value"": 1.22, ""y2"": ""2015-2016 Washington Wizards"", ""x2"": ""#cc3300"", ""z"": 1},"
0.9,0.59,1.05,2016-2017 Atlanta Hawks,#B0B0B0,1,"{""y"": 0.9, ""x"": 0.59, ""value"": 1.05, ""y2"": ""2016-2017 Atlanta Hawks"", ""x2"": ""#cc3300"", ""z"": 1},"
0.98,0.59,1.02,2016-2017 Boston Celtics,#B0B0B0,1,"{""y"": 0.98, ""x"": 0.59, ""value"": 1.02, ""y2"": ""2016-2017 Boston Celtics"", ""x2"": ""#cc3300"", ""z"": 1},"
0.84,0.26,0.92,2016-2017 Brooklyn New Jersey Nets,#B0B0B0,1,"{""y"": 0.84, ""x"": 0.26, ""value"": 0.92, ""y2"": ""2016-2017 Brooklyn New Jersey Nets"", ""x2"": ""#cc3300"", ""z"": 1},"
0.92,0.59,0.99,2016-2017 Charlotte Hornets,#B0B0B0,1,"{""y"": 0.92, ""x"": 0.59, ""value"": 0.99, ""y2"": ""2016-2017 Charlotte Hornets"", ""x2"": ""#cc3300"", ""z"": 1},"
1.04,0.51,1.01,2016-2017 Chicago Bulls,#B0B0B0,1,"{""y"": 1.04, ""x"": 0.51, ""value"": 1.01, ""y2"": ""2016-2017 Chicago Bulls"", ""x2"": ""#cc3300"", ""z"": 1},"
1,0.7,1.39,2016-2017 Cleveland Cavaliers,#404040,3,"{""y"": 1, ""x"": 0.7, ""value"": 1.39, ""y2"": ""2016-2017 Cleveland Cavaliers"", ""x2"": ""#66ff33"", ""z"": 3},"
1.05,0.51,1.14,2016-2017 Dallas Mavericks,#B0B0B0,1,"{""y"": 1.05, ""x"": 0.51, ""value"": 1.14, ""y2"": ""2016-2017 Dallas Mavericks"", ""x2"": ""#cc3300"", ""z"": 1},"
0.74,0.4,0.9,2016-2017 Denver Nuggets,#B0B0B0,1,"{""y"": 0.74, ""x"": 0.4, ""value"": 0.9, ""y2"": ""2016-2017 Denver Nuggets"", ""x2"": ""#cc3300"", ""z"": 1},"
0.75,0.54,1.19,2016-2017 Detroit Pistons,#B0B0B0,1,"{""y"": 0.75, ""x"": 0.54, ""value"": 1.19, ""y2"": ""2016-2017 Detroit Pistons"", ""x2"": ""#cc3300"", ""z"": 1},"
1,0.89,1.11,2016-2017 Golden State Warriors,#080808,4,"{""y"": 1, ""x"": 0.89, ""value"": 1.11, ""y2"": ""2016-2017 Golden State Warriors"", ""x2"": ""#00cc00"", ""z"": 4},"
1,0.5,0.99,2016-2017 Houston Rockets,#B0B0B0,1,"{""y"": 1, ""x"": 0.5, ""value"": 0.99, ""y2"": ""2016-2017 Houston Rockets"", ""x2"": ""#cc3300"", ""z"": 1},"
0.93,0.55,1.03,2016-2017 Indiana Pacers,#B0B0B0,1,"{""y"": 0.93, ""x"": 0.55, ""value"": 1.03, ""y2"": ""2016-2017 Indiana Pacers"", ""x2"": ""#cc3300"", ""z"": 1},"
1.01,0.65,1.27,2016-2017 Los Angeles Clippers,#B0B0B0,1,"{""y"": 1.01, ""x"": 0.65, ""value"": 1.27, ""y2"": ""2016-2017 Los Angeles Clippers"", ""x2"": ""#cc3300"", ""z"": 1},"
1,0.21,1.04,2016-2017 Los Angeles Lakers,#B0B0B0,1,"{""y"": 1, ""x"": 0.21, ""value"": 1.04, ""y2"": ""2016-2017 Los Angeles Lakers"", ""x2"": ""#cc3300"", ""z"": 1},"
0.92,0.51,1.22,2016-2017 Memphis Grizzlies,#B0B0B0,1,"{""y"": 0.92, ""x"": 0.51, ""value"": 1.22, ""y2"": ""2016-2017 Memphis Grizzlies"", ""x2"": ""#cc3300"", ""z"": 1},"
1.01,0.59,1.11,2016-2017 Miami Heat,#B0B0B0,1,"{""y"": 1.01, ""x"": 0.59, ""value"": 1.11, ""y2"": ""2016-2017 Miami Heat"", ""x2"": ""#cc3300"", ""z"": 1},"
0.81,0.4,1.17,2016-2017 Milwaukee Bucks,#B0B0B0,1,"{""y"": 0.81, ""x"": 0.4, ""value"": 1.17, ""y2"": ""2016-2017 Milwaukee Bucks"", ""x2"": ""#cc3300"", ""z"": 1},"
0.73,0.35,0.89,2016-2017 Minnesota Timberwolves,#B0B0B0,1,"{""y"": 0.73, ""x"": 0.35, ""value"": 0.89, ""y2"": ""2016-2017 Minnesota Timberwolves"", ""x2"": ""#cc3300"", ""z"": 1},"
0.98,0.42,1.11,2016-2017 New Orleans Pelicans,#B0B0B0,1,"{""y"": 0.98, ""x"": 0.42, ""value"": 1.11, ""y2"": ""2016-2017 New Orleans Pelicans"", ""x2"": ""#cc3300"", ""z"": 1},"
1,0.39,1.13,2016-2017 New York Knicks,#B0B0B0,1,"{""y"": 1, ""x"": 0.39, ""value"": 1.13, ""y2"": ""2016-2017 New York Knicks"", ""x2"": ""#cc3300"", ""z"": 1},"
1,0.67,1,2016-2017 Oklahoma City Thunder,#B0B0B0,1,"{""y"": 1, ""x"": 0.67, ""value"": 1, ""y2"": ""2016-2017 Oklahoma City Thunder"", ""x2"": ""#cc3300"", ""z"": 1},"
0.93,0.43,1.14,2016-2017 Orlando Magic,#B0B0B0,1,"{""y"": 0.93, ""x"": 0.43, ""value"": 1.14, ""y2"": ""2016-2017 Orlando Magic"", ""x2"": ""#cc3300"", ""z"": 1},"
0.86,0.5,1.11,2016-2017 Philadelphia 76ers,#B0B0B0,1,"{""y"": 0.86, ""x"": 0.5, ""value"": 1.11, ""y2"": ""2016-2017 Philadelphia 76ers"", ""x2"": ""#cc3300"", ""z"": 1},"
0.93,0.28,0.93,2016-2017 Phoenix Suns,#B0B0B0,1,"{""y"": 0.93, ""x"": 0.28, ""value"": 0.93, ""y2"": ""2016-2017 Phoenix Suns"", ""x2"": ""#cc3300"", ""z"": 1},"
1,0.54,1.22,2016-2017 Portland Trail Blazers,#B0B0B0,1,"{""y"": 1, ""x"": 0.54, ""value"": 1.22, ""y2"": ""2016-2017 Portland Trail Blazers"", ""x2"": ""#cc3300"", ""z"": 1},"
1,0.4,1.05,2016-2017 Sacramento Kings,#B0B0B0,1,"{""y"": 1, ""x"": 0.4, ""value"": 1.05, ""y2"": ""2016-2017 Sacramento Kings"", ""x2"": ""#cc3300"", ""z"": 1},"
0.99,0.82,1.19,2016-2017 San Antonio Spurs,#B0B0B0,1,"{""y"": 0.99, ""x"": 0.82, ""value"": 1.19, ""y2"": ""2016-2017 San Antonio Spurs"", ""x2"": ""#cc3300"", ""z"": 1},"
1,0.82,1.19,2016-2017 Toronto Raptors,#696969,2,"{""y"": 1, ""x"": 0.82, ""value"": 1.19, ""y2"": ""2016-2017 Toronto Raptors"", ""x2"": ""#ccff33"", ""z"": 2},"
0.97,0.49,0.88,2016-2017 Utah Jazz,#B0B0B0,1,"{""y"": 0.97, ""x"": 0.49, ""value"": 0.88, ""y2"": ""2016-2017 Utah Jazz"", ""x2"": ""#cc3300"", ""z"": 1},"
0.87,0.5,1.12,2016-2017 Washington Wizards,#B0B0B0,1,"{""y"": 0.87, ""x"": 0.5, ""value"": 1.12, ""y2"": ""2016-2017 Washington Wizards"", ""x2"": ""#cc3300"", ""z"": 1},"
